date,home_team,away_team,home_goals,away_goals
2023-07-21T16:00:00+00:00,Warta Poznań,Pogon Szczecin,0,1
2023-07-21T18:30:00+00:00,Legia Warszawa,ŁKS Łódź,3,0
2023-07-22T13:00:00+00:00,Stal Mielec,Cracovia Krakow,2,2
2023-07-22T15:30:00+00:00,Raków Częstochowa,Jagiellonia,3,0
2023-07-22T18:00:00+00:00,Piast Gliwice,Lech Poznan,1,2
2023-07-23T13:00:00+00:00,Gornik Zabrze,Radomiak Radom,0,2
2023-07-23T15:30:00+00:00,Zaglebie Lubin,Ruch Chorzów,2,1
2023-07-23T18:00:00+00:00,Widzew Łódź,Puszcza Niepołomice,3,2
2023-07-24T17:00:00+00:00,Korona Kielce,Slask Wroclaw,1,1
2023-07-28T18:30:00+00:00,Ruch Chorzów,ŁKS Łódź,2,0
2023-07-29T13:00:00+00:00,Warta Poznań,Gornik Zabrze,2,0
2023-07-29T15:30:00+00:00,Jagiellonia,Puszcza Niepołomice,4,1
2023-07-29T18:00:00+00:00,Slask Wroclaw,Zaglebie Lubin,1,2
2023-07-30T13:00:00+00:00,Stal Mielec,Piast Gliwice,0,0
2023-07-30T15:30:00+00:00,Lech Poznan,Radomiak Radom,2,0
2023-07-30T18:00:00+00:00,Pogon Szczecin,Widzew Łódź,2,1
2023-08-04T16:00:00+00:00,Jagiellonia,Widzew Łódź,2,1
2023-08-04T18:30:00+00:00,ŁKS Łódź,Korona Kielce,2,1
2023-08-05T13:00:00+00:00,Raków Częstochowa,Warta Poznań,2,2
2023-08-05T15:30:00+00:00,Gornik Zabrze,Piast Gliwice,0,0
2023-08-05T18:00:00+00:00,Radomiak Radom,Cracovia Krakow,0,1
2023-08-06T15:30:00+00:00,Zaglebie Lubin,Lech Poznan,1,1
2023-08-06T18:00:00+00:00,Legia Warszawa,Ruch Chorzów,3,0
2023-08-07T17:00:00+00:00,Puszcza Niepołomice,Stal Mielec,1,0
2023-08-11T16:00:00+00:00,Cracovia Krakow,Zaglebie Lubin,2,1
2023-08-11T18:30:00+00:00,Piast Gliwice,Raków Częstochowa,2,1
2023-08-12T13:00:00+00:00,Stal Mielec,Slask Wroclaw,3,1
2023-08-12T15:30:00+00:00,Korona Kielce,Gornik Zabrze,0,1
2023-08-12T18:00:00+00:00,Widzew Łódź,ŁKS Łódź,1,0
2023-08-13T13:00:00+00:00,Pogon Szczecin,Radomiak Radom,0,2
2023-08-13T15:30:00+00:00,Puszcza Niepołomice,Legia Warszawa,1,1
2023-08-14T17:00:00+00:00,Warta Poznań,Ruch Chorzów,2,2
2023-08-18T16:00:00+00:00,Zaglebie Lubin,Puszcza Niepołomice,1,0
2023-08-18T18:30:00+00:00,Gornik Zabrze,Widzew Łódź,1,1
2023-08-19T13:00:00+00:00,Radomiak Radom,Warta Poznań,3,2
2023-08-19T15:30:00+00:00,Raków Częstochowa,Stal Mielec,2,0
2023-08-19T18:00:00+00:00,Ruch Chorzów,Jagiellonia,0,1
2023-08-20T13:00:00+00:00,ŁKS Łódź,Pogon Szczecin,1,0
2023-08-20T15:30:00+00:00,Slask Wroclaw,Lech Poznan,3,1
2023-08-20T18:00:00+00:00,Legia Warszawa,Korona Kielce,1,0
2023-08-21T17:00:00+00:00,Cracovia Krakow,Piast Gliwice,1,1
2023-08-25T16:00:00+00:00,Stal Mielec,Radomiak Radom,2,0
2023-08-25T18:30:00+00:00,Widzew Łódź,Slask Wroclaw,0,2
2023-08-26T13:00:00+00:00,Warta Poznań,Cracovia Krakow,0,0
2023-08-26T15:30:00+00:00,Puszcza Niepołomice,ŁKS Łódź,2,1
2023-08-26T18:00:00+00:00,Piast Gliwice,Ruch Chorzów,0,0
2023-08-27T13:00:00+00:00,Korona Kielce,Zaglebie Lubin,2,0
2023-08-27T15:30:00+00:00,Jagiellonia,Gornik Zabrze,4,1
2023-08-30T16:30:00+00:00,Pogon Szczecin,Slask Wroclaw,0,2
2023-09-01T16:00:00+00:00,ŁKS Łódź,Warta Poznań,0,2
2023-09-01T18:30:00+00:00,Ruch Chorzów,Stal Mielec,1,1
2023-09-02T13:00:00+00:00,Radomiak Radom,Piast Gliwice,1,1
2023-09-02T15:30:00+00:00,Cracovia Krakow,Korona Kielce,0,0
2023-09-02T18:00:00+00:00,Lech Poznan,Gornik Zabrze,1,1
2023-09-03T10:30:00+00:00,Slask Wroclaw,Jagiellonia,2,1
2023-09-03T13:00:00+00:00,Zaglebie Lubin,Pogon Szczecin,1,0
2023-09-03T15:30:00+00:00,Legia Warszawa,Widzew Łódź,3,1
2023-09-03T18:00:00+00:00,Raków Częstochowa,Puszcza Niepołomice,2,0
2023-09-15T16:00:00+00:00,Puszcza Niepołomice,Slask Wroclaw,1,3
2023-09-15T18:30:00+00:00,Gornik Zabrze,Ruch Chorzów,1,0
2023-09-16T13:00:00+00:00,Pogon Szczecin,Korona Kielce,3,1
2023-09-16T15:30:00+00:00,Raków Częstochowa,ŁKS Łódź,1,0
2023-09-16T18:00:00+00:00,Piast Gliwice,Legia Warszawa,1,1
2023-09-17T10:30:00+00:00,Jagiellonia,Radomiak Radom,3,2
2023-09-17T13:00:00+00:00,Widzew Łódź,Cracovia Krakow,2,0
2023-09-17T15:30:00+00:00,Warta Poznań,Lech Poznan,0,2
2023-09-18T17:00:00+00:00,Stal Mielec,Zaglebie Lubin,4,2
2023-09-22T16:00:00+00:00,Korona Kielce,Widzew Łódź,1,1
2023-09-22T18:30:00+00:00,ŁKS Łódź,Jagiellonia,2,2
2023-09-23T10:30:00+00:00,Radomiak Radom,Puszcza Niepołomice,1,1
