date,league,home_team,away_team,home_goals,away_goals
2024-07-20T00:00:00+00:00,Ekstraklasa,Legia Warszawa,Lech Poznań,0,1
2024-07-23T00:00:00+00:00,Ekstraklasa,Legia Warszawa,Raków Częstochowa,0,1
2024-07-26T00:00:00+00:00,Ekstraklasa,Legia Warszawa,Pogoń Szczecin,1,3
2024-07-29T00:00:00+00:00,Ekstraklasa,Legia Warszawa,Śląsk Wrocław,3,4
2024-08-01T00:00:00+00:00,Ekstraklasa,Legia Warszawa,Górnik Zabrze,0,2
2024-08-04T00:00:00+00:00,Ekstraklasa,Legia Warszawa,Cracovia,0,1
2024-08-07T00:00:00+00:00,Ekstraklasa,Legia Warszawa,Jagiellonia Białystok,3,0
2024-08-10T00:00:00+00:00,Ekstraklasa,Legia Warszawa,Piast Gliwice,1,2
2024-08-13T00:00:00+00:00,Ekstraklasa,Legia Warszawa,Zagłębie Lubin,0,0
2024-08-16T00:00:00+00:00,Ekstraklasa,Legia Warszawa,Radomiak Radom,3,3
2024-08-19T00:00:00+00:00,Ekstraklasa,Legia Warszawa,Widzew Łódź,0,1
2024-08-22T00:00:00+00:00,Ekstraklasa,Legia Warszawa,Stal Mielec,1,0
2024-08-25T00:00:00+00:00,Ekstraklasa,Legia Warszawa,Korona Kielce,3,0
2024-08-28T00:00:00+00:00,Ekstraklasa,Legia Warszawa,ŁKS Łódź,0,4
2024-08-31T00:00:00+00:00,Ekstraklasa,Legia Warszawa,Ruch Chorzów,2,3
2024-09-03T00:00:00+00:00,Ekstraklasa,Legia Warszawa,GKS Katowice,0,2
2024-09-06T00:00:00+00:00,Ekstraklasa,Legia Warszawa,Arka Gdynia,3,2
2024-09-09T00:00:00+00:00,Ekstraklasa,Lech Poznań,Legia Warszawa,2,4
2024-09-12T00:00:00+00:00,Ekstraklasa,Lech Poznań,Raków Częstochowa,1,3
2024-09-15T00:00:00+00:00,Ekstraklasa,Lech Poznań,Pogoń Szczecin,0,4
2024-09-18T00:00:00+00:00,Ekstraklasa,Lech Poznań,Śląsk Wrocław,4,3
2024-09-21T00:00:00+00:00,Ekstraklasa,Lech Poznań,Górnik Zabrze,0,1
2024-09-24T00:00:00+00:00,Ekstraklasa,Lech Poznań,Cracovia,0,0
2024-09-27T00:00:00+00:00,Ekstraklasa,Lech Poznań,Jagiellonia Białystok,4,1
2024-09-30T00:00:00+00:00,Ekstraklasa,Lech Poznań,Piast Gliwice,4,4
2024-10-03T00:00:00+00:00,Ekstraklasa,Lech Poznań,Zagłębie Lubin,2,4
2024-10-06T00:00:00+00:00,Ekstraklasa,Lech Poznań,Radomiak Radom,3,2
2024-10-09T00:00:00+00:00,Ekstraklasa,Lech Poznań,Widzew Łódź,1,3
2024-10-12T00:00:00+00:00,Ekstraklasa,Lech Poznań,Stal Mielec,0,2
2024-10-15T00:00:00+00:00,Ekstraklasa,Lech Poznań,Korona Kielce,2,2
2024-10-18T00:00:00+00:00,Ekstraklasa,Lech Poznań,ŁKS Łódź,1,0
2024-10-21T00:00:00+00:00,Ekstraklasa,Lech Poznań,Ruch Chorzów,0,3
2024-10-24T00:00:00+00:00,Ekstraklasa,Lech Poznań,GKS Katowice,3,2
2024-10-27T00:00:00+00:00,Ekstraklasa,Lech Poznań,Arka Gdynia,4,2
2024-10-30T00:00:00+00:00,Ekstraklasa,Raków Częstochowa,Legia Warszawa,2,2
2024-11-02T00:00:00+00:00,Ekstraklasa,Raków Częstochowa,Lech Poznań,3,4
2024-11-05T00:00:00+00:00,Ekstraklasa,Raków Częstochowa,Pogoń Szczecin,4,2
2024-11-08T00:00:00+00:00,Ekstraklasa,Raków Częstochowa,Śląsk Wrocław,2,3
2024-11-11T00:00:00+00:00,Ekstraklasa,Raków Częstochowa,Górnik Zabrze,2,4
2024-11-14T00:00:00+00:00,Ekstraklasa,Raków Częstochowa,Cracovia,3,1
2024-11-17T00:00:00+00:00,Ekstraklasa,Raków Częstochowa,Jagiellonia Białystok,1,3
2024-11-20T00:00:00+00:00,Ekstraklasa,Raków Częstochowa,Piast Gliwice,1,1
2024-11-23T00:00:00+00:00,Ekstraklasa,Raków Częstochowa,Zagłębie Lubin,0,0
2024-11-26T00:00:00+00:00,Ekstraklasa,Raków Częstochowa,Radomiak Radom,3,3
